Date,Open,High,Low,Close
2023-08-04,3726.3,3759.95,3723,3745.4
2023-08-03,3700,3764.8,3690.2,3726.3
2023-08-02,3630,3695,3577.05,3690.6
2023-08-01,3705,3720.6,3625,3639.5
2023-07-31,3640,3748.95,3640,3684.3
2023-07-28,3769,3775,3710,3739.05
2023-07-27,3694,3795.9,3685.3,3741.9
2023-07-26,3743,3743,3673.55,3680.45
2023-07-25,3695,3743,3681.1,3719.4
2023-07-24,3688.25,3710,3656.95,3686
2023-07-21,3661,3747,3638.45,3688.3
2023-07-20,3650,3679.15,3620.05,3666.55
2023-07-19,3626.65,3675,3625,3638.05
2023-07-18,3670,3683,3567,3626.65
2023-07-17,3684,3704.05,3650.2,3662.9
2023-07-14,3659,3690,3627,3677.2
2023-07-13,3646,3674.65,3610.05,3620.9
2023-07-12,3650,3670,3596.75,3633.5
2023-07-11,3661,3697,3632.45,3641.45
2023-07-10,3685,3685,3590.75,3639.95
2023-07-07,3717,3740,3661.15,3668.65
2023-07-06,3746.7,3748.2,3700,3736.85
2023-07-05,3576.4,3775,3563.15,3747.95
2023-07-04,3600,3600,3540.05,3550.1
2023-07-03,3586.8,3652,3576.25,3587.55
2023-06-30,3615,3651.9,3571,3583.6
2023-06-28,3585.05,3631.7,3585.05,3601.55
2023-06-27,3535,3594,3534.95,3583.3
2023-06-26,3468.95,3539.95,3467,3534.35
2023-06-23,3527,3537.85,3450.1,3462.95
2023-06-22,3509.55,3560,3501.1,3543.85
2023-06-21,3555.05,3565,3501.3,3509.55
2023-06-20,3585,3586.5,3533.05,3566.2
2023-06-19,3581.85,3624,3572.45,3584.75
2023-06-16,3603.05,3633.1,3570,3579.6
2023-06-15,3499.95,3591,3487.35,3581.05
2023-06-14,3495,3507.4,3462.05,3485.95
2023-06-13,3438.45,3493.95,3435,3487.7
2023-06-12,3309,3467.45,3308.95,3438.45
2023-06-09,3481.05,3498.95,3420,3428.75
2023-06-08,3549,3554.6,3489.05,3499.7
2023-06-07,3555,3570,3526,3542.1
2023-06-06,3462.95,3544,3441.15,3537.9
