Date,Open,High,Low,Close
2022-08-08,107.85,108.15,106.7,107.2
2022-08-10,107.9,109.9,106.5,109.2
2022-08-11,110.3,110.65,108.6,109.1
2022-08-12,109.35,112.9,108.8,112.65
2022-08-16,113.7,113.7,111.1,113
2022-08-17,113.5,113.5,112.25,112.5
2022-08-18,112.5,113,111.4,112.55
2022-08-19,112.55,112.9,109.55,110.05
2022-08-22,109.5,109.6,104.7,105.05
2022-08-23,104.2,108.25,103.5,107.6
2022-08-24,107.55,108.15,105.75,106.55
2022-08-25,107.05,107.9,105.75,106.25
2022-08-26,107.25,109.2,107.1,107.35
2022-08-29,104.05,105.65,103.25,104.85
2022-08-30,106.5,108.5,106.05,108.3
2022-09-01,107,107.75,105.9,106.4
2022-09-02,107,107,105,105.5
2022-09-05,106.05,107.3,105.8,106.9
2022-09-06,107.4,108.8,106.05,108.6
2022-09-07,107.55,108.9,107.1,107.6
2022-09-08,108.4,108.4,105.35,105.85
2022-09-09,107,107.35,105.5,105.7
2022-09-12,106.8,107.95,106.5,107.75
2022-09-13,108,108.7,107.55,107.75
2022-09-14,106.3,110.4,105.8,109.15
2022-09-15,108.65,109,106.5,107
2022-09-16,106.2,107.5,105,105.7
2022-09-19,106.2,106.2,103,103.1
2022-09-20,104.2,106.35,104,105.8
2022-09-21,105.8,107.2,104.3,104.45
2022-09-22,104.45,105.3,103.5,103.6
2022-09-23,106.2,107.9,103.75,104.3
2022-09-26,104.4,104.45,98.5,99.85
2022-09-27,101.35,101.35,96.5,97.65
2022-09-28,96.55,97.85,95,95.2
2022-09-29,97,98.25,96.4,96.85
2022-09-30,96.85,100.4,95.7,99.3
2022-10-03,99.6,99.65,98,98.35
2022-10-04,100.3,101.5,100,101.15
2022-10-06,102,103.8,101.75,103.55
2022-10-07,103.3,103.5,101.9,103.3
2022-10-10,102,103.5,101.15,103.2
2022-10-11,103.55,103.65,99.8,100.35
2022-10-12,100.35,101.2,99,100.55
2022-10-13,101.1,101.8,98.8,100.1
2022-10-14,101.85,102.8,99.9,100.1
2022-10-17,99.75,100.4,98.1,99.55
2022-10-18,100.3,101,99.8,100.65
2022-10-19,100.6,101.25,99.7,100.05
2022-10-20,99.5,101.2,98.8,100.9
2022-10-21,100.85,101.45,99.35,100.2
2022-10-24,102,102.1,101,101.2
2022-10-25,101.15,102.5,100.7,101.2
2022-10-27,102.25,104.65,102.05,104.2
2022-10-28,104.1,104.6,100.8,101.6
2022-10-31,101.9,102.15,100.3,101.55
2022-11-01,98.55,101.45,98.55,101.2
2022-11-02,101,103,100.8,101.25
2022-11-03,100.75,102.45,100,102
2022-11-04,102.5,105,102.2,104.75
2022-11-07,105.9,107.45,104.6,106.7
2022-11-09,107.25,107.55,105.55,106.1
2022-11-10,105.2,106,104.45,104.7
2022-11-11,106.25,108.2,106.25,107.55
2022-11-14,108.5,110,108.25,108.7
2022-11-15,109,109.35,107.2,108.55
2022-11-16,108.45,108.8,105.2,106.55
2022-11-17,105.9,106.8,104.5,105.85
2022-11-18,105.85,106.3,104.7,105.5
2022-11-21,107.7,107.7,103.85,104.25
2022-11-22,104.4,105.4,103.55,105.2
2022-11-23,105.7,106,104.95,105.45
2022-11-24,105.85,105.95,104.6,105.5
2022-11-25,105.6,106.5,105.1,106.2
2022-11-28,106,106.4,104.5,104.9
2022-11-29,105,107.65,104.95,106.1
2022-11-30,106.1,107.95,105.9,107.65
2022-12-01,108.7,111.3,108,110.75
2022-12-02,110.8,112.5,110.15,112
2022-12-05,113.3,116.1,112.65,115.85
2022-12-06,115.35,115.35,112.25,112.95
2022-12-07,113.4,113.5,110.85,111.2
2022-12-08,111.75,113,110.8,111.85
2022-12-09,112.8,113.75,109.7,110.45
2022-12-12,110.2,112.1,108.7,111.7
2022-12-13,112.55,112.85,110.8,111.2
2022-12-14,111.6,113.2,111.1,113.05
2022-12-15,112.65,113.45,110.7,110.95
2022-12-16,110.35,112.1,109.45,111.05
2022-12-19,111.05,112.1,110.8,111.8
2022-12-20,111.15,111.5,109,110.95
